Nr,Name,FIDE ID,Born,Birthplace,Died,Title,Federation,Sex,Notes
619,"Gufeld, Eduard",2015307,19.03.1936,Kyiv,23.09.2002,1967,Ukraine,M,later United States
125,"Bagirov, Vladimir",11600063,16.08.1936,Batumi,21.07.2000,1978,Soviet Union,M,later Latvia
293,"Chernikov, Oleg",4103289,15.10.1936,Nizhny Novgorod,06.02.2015,2000,Russia,M,winner 2000 World Senior Chess Championship[obit 8]
884,"Knežević, Milorad",900494,31.10.1936,Cetinje,31.03.2005,1976,Yugoslavia,M,later Serbia and Montenegro
1769,"Tal, Mikhail",,09.11.1936,Riga,28.06.1992,1957,Soviet Union,M,"later Ukraine, Latvia"
1092,"Malich, Burkhard",4611330,29.11.1936,Schweidnitz-Świdnica,,1975,East Germany,M,currently Germany
1698,"Spassky, Boris V.",600024,30.01.1937,Leningrad,,1955,Russia,M,Gaige
557,"Gipslis, Aivars",11600080,08.02.1937,Riga,13.04.2000,1967,Soviet Union,M,later Latvia
1178,"Minić, Dragoljub",14500477,05.03.1937,Podgorica,05.04.2005,1991,Yugoslavia,M,honorary; later Serbia and Montenegro[note 69]
1823,"Tringov, Georgi",2900203,07.03.1937,Plovdiv,02.07.2000,1963,Bulgaria,M,
1145,"Mednis, Edmar",2000440,22.03.1937,Riga,13.02.2002,1980,United States,M,
1029,"Liberzon, Vladimir",,23.03.1937,Moscow,04.08.1996,1965,Soviet Union,M,;[note 61] later Israel
1421,"Portisch, Lajos",700037,04.04.1937,Zalaegerszeg,,1961,Hungary,M,Gaige
602,"Grechikhin, Valery",4121015,06.09.1937,,13.05.2008,1998,Russia,M,
1611,"Shabanov, Yuri",4103726,11.11.1937,Khabarovsk,31.03.2010,2004,Russia,M,
256,"Bukić, Enver",14600030,02.12.1937,Banja Luka,,1976,Yugoslavia,M,currently Slovenia
1048,"Lombardy, William",2000415,04.12.1937,New York City,13.10.2017,1960,United States,M,Gaige[obit 25]
1117,"Marović, Dražen",14500183,14.01.1938,Split,,1975,Yugoslavia,M,currently Croatia
1322,"Ostojić, Predrag",,22.02.1938,Kraljevo,05.07.1996,1975,Yugoslavia,M,
1701,"Spiridonov, Nikola",2900238,28.02.1938,Pleven,13.03.2021,1979,Bulgaria,M,[obit 39]
1985,"Zaitsev, Igor A.",4103017,27.05.1938,Ramenskoye,,1976,Russia,M,[note 106]
1458,"Radulov, Ivan",2900300,07.01.1939,Burgas,,1972,Bulgaria,M,
675,"Hecht, Hans-Joachim",4600320,29.01.1939,Luckenwalde,,1973,Germany,M,
320,"Csom, István",700100,02.06.1940,Sátoral­jaújhely,28.07.2021,1973,Hungary,M,[obit 9]
1549,"Šahović, Dragutin",901644,08.08.1940,Kraljevo,12.11.2005,1978,Yugoslavia,M,;[note 87] later Serbia and Montenegro
1582,"Savon, Vladimir",14100193,26.09.1940,Chernigov,01.06.2005,1973,Soviet Union,M,later Ukraine
1805,"Todorčević Antić, Miodrag",900060,10.11.1940,Belgrade,,1989,Yugoslavia,M,later Serbia and Montenegro; currently Spain
1373,"Petkevich, Jusefs",11600110,19.12.1940,Riga,,2002,Latvia,M,
515,"Gaprinda­shvili, Nona",13600125,03.05.1941,Zugdidi,,1978,Georgia,F,
1224,"Murey, Jacob",2803585,02.08.1941,Moscow,,1987,Israel,M,
135,"Balinas, Rosendo Jr.",5200075,10.09.1941,Manila,24.09.1998,1976,Philippines,M,
